hcpcs_code,payment_rate,description
0001U,720.0,Rbc dna hea 35 ag 11 bld grp
0002M,503.4,Liver dis 10 assays w/ash
0002U,25.0,Onc clrct 3 ur metab alg plp
0003M,503.4,Liver dis 10 assays w/nash
0003U,950.0,Onc ovar 5 prtn ser alg scor
0004M,79.0,Scoliosis dna alys
0005U,760.0,Onco prst8 3 gene ur alg
0006M,150.0,Onc hep gene risk classifier
0007M,375.0,Onc gastro 51 gene nomogram
0007U,114.43,Rx test prsmv ur w/def conf
0008U,597.91,Hpylori detcj abx rstnc dna
0009U,107.0,Onc brst ca erbb2 amp/nonamp
0010U,427.26,Nfct ds strn typ whl gen seq
0011M,760.0,Onc prst8 ca mrna 12 gen alg
0011U,114.43,Rx mntr lc-ms/ms oral fluid
0012M,760.0,Onc mrna 5 gen rsk urthl ca
0013M,760.0,Onc mrna 5 gen recr urthl ca
0015M,1305.37,Adrnl cortcl tum bchm asy 25
0016M,3489.63,Onc bladder mrna 219 gen alg
0016U,163.96,Onc hmtlmf neo rna bcr/abl1
0017M,2510.21,Onc dlbcl mrna 20 genes alg
0017U,91.66,Onc hmtlmf neo jak2 mut dna
0018M,640.73,Trnsplj rnl meas cd154+cll
0018U,3002.09,Onc thyr 10 microrna seq alg
0019M,712.4,Cv ds plasma alys prtn bmrk
0019U,3675.0,Onc rna tiss predict alg
0020M,2500.0,Onc cns alys 30000 dna loci
0021U,760.0,Onc prst8 detcj 8 autoantb
0022U,1950.0,Tgsap nsm lung neo dna&rna23
0023U,248.51,Onc aml dna detcj/nondetcj
0024U,34.19,Glyca nuc mr spectrsc quan
0025U,114.43,Tenofovir liq chrom ur quan
0026U,3600.0,Onc thyr dna&mrna 112 genes
0027U,121.91,Jak2 gene trgt seq alys
0029U,742.27,Rx metab advrs trgt seq alys
0030U,134.13,Rx metab warf trgt seq alys
0031U,174.81,Cyp1a2 gene
0032U,174.81,Comt gene
0034U,466.17,Tpmt nudt15 genes
0035U,540.99,Neuro csf prion prtn qual
0036U,4780.0,Xome tum & nml spec seq alys
0037U,3500.0,Trgt gen seq dna 324 genes
0038U,29.6,Vitamin d srm microsamp quan
0039U,13.74,Dna antb 2strand hi avidity
0040U,409.9,Bcr/abl1 gene major bp quan
0041U,17.21,B brgdrferi antb 5 prtn igm
0042U,17.21,B brgdrferi antb 12 prtn igg
0043U,14.86,Tbrf b grp antb 4 prtn igm
0044U,14.86,Tbrf b grp antb 4 prtn igg
0045U,3873.0,Onc brst dux carc is 12 gene
0046U,407.43,Flt3 gene itd variants quan
0047U,3873.0,Onc prst8 mrna 17 gene alg
0048U,2919.6,Onc sld org neo dna 468 gene
0049U,407.43,Npm1 gene analysis quan
0050U,2916.6,Trgt gen seq dna 194 genes
0051U,246.92,Rx mntr lc-ms/ms ur/bld 31
0052U,33.86,Lpoprtn bld w/5 maj classes
0054U,198.74,Rx mntr 14+ drugs & sbsts
0055U,3240.0,Card hrt trnspl 96 dna seq
0058U,322.96,Onc merkel cll carc srm quan
0059U,322.96,Onc merkel cll carc srm +/-
0060U,759.05,Twn zyg gen seq alys chrms2
0061U,25.1,Tc meas 5 bmrk sfdi m-s alys
0062U,380.72,Ai sle igg&igm alys 80 bmrk
0063U,750.0,Neuro autism 32 amines alg
0064U,31.33,Antb tp total&rpr ia qual
0065U,18.09,Syfls tst nontreponemal antb
