apc_code,hcpcs_code,payment_rate,description
1064,A9517,24.07,"I131 iodide cap, rx"
1138,J1573,69.58,"Hepagam b intravenous, inj"
1139,J2724,15.01,Protein c concentrate
1142,J9226,43185.34,Supprelin la implant
1150,A9530,20.77,"I131 iodide sol, rx"
1168,J9330,20.32,Temsirolimus injection
1178,J0594,0.89,Busulfan injection
1203,J3396,11.56,Verteporfin injection
1207,J2353,199.17,"Octreotide injection, depot"
1213,J7186,1.24,Antihemophilic viii/vwf comp
1214,J1459,50.28,Inj ivig privigen 500 mg
1232,J9280,26.1,Mitomycin injection
1235,J9357,1303.34,Valrubicin injection
1237,J1750,18.08,Inj iron dextran
1238,J8705,125.09,Topotecan oral
1253,J3300,24.49,Triamcinolone a inj prs-free
1263,J7197,4.05,Antithrombin iii injection
1268,J7185,1.59,Xyntha inj
1274,J0600,6209.68,Edetate calcium disodium inj
1281,C9257,1.84,Bevacizumab injection
1289,J0586,8.8,Abobotulinumtoxina
1295,A9604,3159.8,Sm 153 lexidronam
1296,J9155,4.45,Degarelix injection
1297,Q0138,0.36,"Ferumoxytol, non-esrd"
1311,J0638,147.74,Canakinumab injection
1312,J1559,14.54,Hizentra injection
1327,J1786,43.23,Imuglucerase injection
1340,J0775,75.74,"Collagenase, clost hist inj"
1352,J7183,1.32,Wilate injection
1353,J0490,57.16,Belimumab injection
1413,J0221,207.38,Lumizyme injection
1415,J0257,5.69,Glassia injection
1416,J7180,10.76,Factor xiii anti-hem factor
1417,J7326,528.05,Gel-one
1420,J0178,763.9,Aflibercept injection
1421,Q2049,298.74,Imported lipodox inj
1426,J9179,72.61,Eribulin mesylate injection
1431,J0716,1051.34,Centruroides immune f(ab)
1441,C9176,10.0,Dom nonHEU Tc99m add-on/dose
1446,Q9968,9.81,Visualization adjunct
1458,J2760,420.56,Phentolaine mesylate inj
1464,J7191,5.46,Factor viii (porcine)
1467,J7200,1.74,Factor ix recombinan rixubis
1468,J0401,7.28,"Inj, abilify maintena, 1 mg"
1469,J1442,1.0,Inj filgrastim excl biosimil
1471,J9306,17.01,"Injection, pertuzumab, 1 mg"
1474,J0717,3.87,Certolizumab pegol inj 1mg
1475,J1602,11.63,Golimumab for iv use 1mg
1476,J9301,81.62,Obinutuzumab inj
1478,J7178,1.52,Inj human fibrinogen con nos
1480,J1322,311.94,"Elosulfase alfa, injection"
1482,J0882,3.02,"Darbepoetin alfa, esrd use"
1485,Q0139,0.36,"Ferumoxytol, esrd use"
1486,J7201,3.6,Factor ix alprolix recomb
1488,J9308,75.58,"Injection, ramucirumab"
1489,J3380,21.37,Inj vedolizumab iv 1 mg
1490,J9271,59.73,Inj pembrolizumab
1505,0693T,350.5,Compre ful bdy 3d mtn alys
1505,0733T,350.5,Rem r-t mtn nrehab ther sply
1506,M0224,450.5,Pemivibart infusion
1506,M0235,450.5,"Intrav inf, mon anti, fir do"
1506,M0236,450.5,"Intrav inf, mon anti, sec do"
1506,M0237,450.5,"Intrav inf, toci, first dose"
